Abbey 	Fencing Salon 	Parochial School
Butsudan Store 	Ice Cream Shop 	Seafood Farm
Cabaret Club 	Ice Hockey Club 	Seafood Market
Cabin Rental Agency 	Ice Skating Club 	Seafood Restaurant
Cabinet Maker 	Ice Skating Instructor 	Seafood Wholesaler
Cabinet Store 	Ice Skating Rink 	Seal Shop
Cable Company 	Ice Supplier 	Seaplane Base
Cadillac Dealer 	Icelandic Restaurant 	Seasonal Goods Store
Cafe 	Icse School 	Second Hand Store
Cafeteria 	Idol Manufacturer 	Secondary School Three
Cajun Restaurant 	Image Consultant 	Security Guard Service
Cake Decorating Equipment Shop 	Imax Theater 	Security Service
Cake Shop 	Immigration & Naturalization Service 	Security System Installer
Californian Restaurant 	Immigration Attorney 	Security System Supplier
Call Center 	Immigration Detention Centre 	Seed Supplier
Call Shop 	Immunologist 	Seitai
Calligraphy Lesson 	Impermeabilization Service 	Self-Catering Accommodation
Calvary Chapel Church 	Import Export Company 	Self Defense School
Cambodian Restaurant 	Importer 	Self Service Car Wash
Camera Repair Shop 	Incense Supplier 	Self Service Restaurant
Camera Store 	Incineration Plant 	Self-Storage Facility
Camp 	Income Protection Insurance 	Semi Conductor Supplier
Camper Shell Supplier 	Income Tax Help Association 	Seminary
Campground 	Indian Grocery Store 	Senior Citizen Center
Camping Farm 	Indian Muslim Restaurant 	Aged Care
Camping Store 	Indian Restaurant 	Senior High School
Pacific Northwest Restaurant (Canada) 	Indonesian Restaurant 	Septic System Service
Canadian Restaurant 	Indoor Cycling 	Serbian Restaurant
Cancer Treatment Center 	Indoor Golf Course 	Serviced Accommodation
Candle Store 	Indoor Lodging 	Seventh-day Adventist Church
Candy Store 	Indoor Playground 	Sewage Disposal Service
Cane Furniture Store 	Indoor Snowcenter 	Sewage Treatment Plant
CBD store 	Indoor Swimming Pool 	Sewing Company
Cannery 	Industrial Area 	Sewing Machine Repair Service
Canoe and Kayak Club 	Industrial Chemicals Wholesaler 	Sewing Machine Store
Canoe & Kayak Rental Service 	Industrial Consultant 	Sewing Shop
Canoe & Kayak Store 	Industrial Design Company 	Sexologist
Canoe & Kayak Tour Agency 	Industrial Door Supplier 	Seychelles Restaurant
Canoeing Area 	Industrial Engineer 	Sukiyaki and Shabu Shabu Restaurant
Cantabrian Restaurant 	Industrial Engineers Association 	Shabu-shabu Restaurant
Cantonese Restaurant 	Industrial Equipment Supplier 	Shan Dong Restaurant
Cape Verdean Restaurant 	Industrial Framework Supplier 	Shanghainese Restaurant
Capital 	Industrial Gas Supplier 	Sharpening Service
Capoeira School 	Industrial Real Estate Agency 	Shed Builder
Capsule Hotel 	Industrial Supermarket 	Sheep Shearer
Car Accessories Store 	Industrial Technical Engineers Association 	Sheepskin and Wool Products Supplier
Car Alarm Supplier 	Industrial Vacuum Equipment Supplier 	Sheepskin Coat Store
Car Battery Store 	Infectious Disease Physician 	Sheet Metal Contractor
Car Dealer 	Infiniti Dealer 	Sheet Music Store
Car Detailing Service 	Information Bureau 	Shelter
Car Factory 	Information Services 	Sheltered Housing
Car Finance and Loan Company 	Inn 	Shelving Store
Car Inspection Station 	Insolvency Service 	Sheriff’s Department
Car Leasing Service 	Institute of Geography and Statistics 	Shinkin Bank
Car Manufacturer 	Instrumentation Engineer 	Shinto Shrine
Car Racing Track 	Insulation Contractor 	Ship Building
Car Rental Agency 	Insulation Materials Store 	Shipbuilding and Repair Company
Car Repair and Maintenance 	Insulator Supplier 	Shipping and Mailing Service
Car Security System Installer 	Insurance Agency 	Shipping Company
Car Service 	Insurance Attorney 	Shipping Equipment Industry
Car Sharing Location 	Insurance Broker 	Shipping Service
Car Stereo Store 	Insurance Company 	Shipyard
Car Wash 	Insurance School 	Shochu Brewery
Carabinieri Police 	Intellectual Property Registry 	Shoe Factory
Cardiologist 	Interior Architect Office 	Shoe Repair Shop
Career Guidance Service 	Interior Construction Contractor 	Shoe Shining Service
Caribbean Restaurant 	Interior Designer 	Shoe Store
Carnival Club 	Interior Door 	Footwear Wholesaler
Carpenter 	Interior Fitting Contractor 	Shogi Lesson
Carpet Cleaning Service 	Interior Plant Service 	Shooting Event Area
Carpet Installer 	Internal Medicine Ward 	Shooting Range
Carpet Manufacturer 	International Airport 	Shop Supermarket Furniture Store
Carpet Store 	International School 	Shopfitter
Carpet Wholesaler 	International Trade Consultant 	Shopping Mall
Carpool 	Internet Cafe 	Short Term Apartment Rental Agency
Carport and Pergola Builder 	Internet Marketing Service 	Shower Door Shop
Carriage Ride Service 	Internet Service Provider 	Shower Door Supplier
Carvery 	Internet Shop 	Shredding Service
Cash and Carry Wholesaler 	Internist 	Shrimp Farm
Casino 	Investment Bank 	Shrine
Casket Service 	Investment Company 	Sichuan Restaurant
Castilian Restaurant 	Investment Service 	Sicilian Restaurant
Castle 	Invitation Printing Service 	Siding Contractor
Castle Hotel 	Irish Goods Store 	Sightseeing Tour Agency
Syokudo and Teishoku Restaurant 	Irish Pub 	Sign Shop
Conveyor Belt Sushi Restaurant 	Irish Restaurant 	Gurudwara
Cat Hostel 	Iron Steel Contractor 	Silk Plant Shop
Catalonian Restaurant 	Iron Ware Dealer 	Silk Store
Catering Food and Drink Supplier 	Iron Works 	Silversmith
Caterer 	Irrigation Equipment Supplier 	Singaporean Restaurant
Cathedral 	Israeli Restaurant 	Singing Telegram Service
Catholic Cathedral 	Isuzu Dealer 	Single Sex Secondary School
Catholic Church 	Italian Grocery Store 	Singles Organization
Catholic School 	Italian Restaurant 	Sixth Form College
Cattery 	IUP 	Skate Sharpening Service
Cattle Farm 	Institute of Technology 	Skate Shop
Cattle Market 	Jaguar Dealer 	Skateboard Park
CBSE School 	Jain Temple 	Skateboard Shop
CD Store 	Jamaican Restaurant 	Skating Instructor
Ceiling Supplier 	Janitorial Equipment Supplier 	Skeet Shooting Range
Cell Phone Accessory Store 	Janitorial Service 	Kushiage and Kushikatsu Restaurant
Cell Phone Store 	Authentic Japanese Restaurant 	Ski Club
Cement Manufacturer 	Japanese Cheap Sweets Shop 	Ski Rental Service
Cement Supplier 	Japanese Confectionary Shop 	Ski Repair Service
Cemetery 	Japanese Curry Restaurant 	Ski Resort
Central American Restaurant 	Japanese Delicatessen 	Ski School
Central Authority 	Japanese Grocery Store 	Ski Shop
Central Bank 	Ryotei Restaurant 	Skin Care Clinic
Ceramic Manufacturer 	Japanese Hot Pot Restaurant 	Skin Care Products Vending Machine
Ceramics Wholesaler 	Japanese Inn With Hot Spring 	Skittle Alley
Certification Agency 	Japanese Inns 	Skittle Club
Certified Public Accountant 	Izakaya Restaurant 	Skydiving Center
Chalet 	Japanese Language Instructor 	Skylight Contractor
Chamber of Agriculture 	Japanese Regional Restaurant 	Slaughterhouse
Chamber of Commerce 	Japanese Restaurant 	Sleep Clinic
Chamber of Handicrafts 	Japanese Steakhouse 	Small Appliance Repair Service
Champon Noodle Restaurant 	Japanese Sweets Restaurant 	Small Claims Assistance Service
Chanko Restaurant 	Japanized Western Restaurant 	Small Engine Repair Service
Chapel 	Jazz Club 	Small Plates Restaurant
Charcuterie 	Jeep Dealer 	Smart Shop
Charity 	Jehovah’s Witness Kingdom Hall 	Smog Inspection Station
Charter School 	Jeweler 	Snack Bar
Chartered Accountant 	Jewelry Appraiser 	Snow Removal Service
Check Cashing Service 	Jewelry Buyer 	Snowboard Rental Service
Cheese Manufacturer 	Jewelry Designer 	Snowboard Shop
Cheese Shop 	Jewelry Engraver 	Snowmobile Dealer
Cheesesteak Restaurant 	Jewelry Equipment Supplier 	Snowmobile Rental Service
Chemical Engineer 	Jewelry Exporter 	Soapland
Chemical Exporter 	Jewellery Manufacturer 	Soba Noodle Shop
Chemical Manufacturer 	Jewelry Repair Service 	Soccer Club
Chemical Plant 	Jewelry Store 	Soccer Field
Chemical Wholesaler 	Jewish Restaurant 	Soccer Practice
Chemistry Faculty 	Jiang Su Restaurant 	Soccer Store
Chemistry Lab 	Joiner 	Social Club
Chesapeake Restaurant 	Judicial Auction 	Social Security Attorney
Chess and Card Club 	Judicial Scrivener 	Social Security Financial Department
Chess Club 	Judo Club 	Social Security Office
Chess Instructor 	Judo School 	Social Services Organization
Chevrolet Dealer 	Juice Shop 	Social Welfare Center
Chicken Hatchery 	Jujitsu School 	Social Worker
Chicken Restaurant 	Junior College 	Societe de Flocage
Chicken Shop 	Junk Dealer 	Sod Supplier
Chicken Wings Restaurant 	Junk Store 	Sofa Store
Child Care Agency 	Junkyard 	Soft Drinks Shop
Child Health Care Centre 	Justice Department 	Suppon Restaurant
Child Psychologist 	Jute Exporter 	Softball Club
Childbirth Class 	Jute Mill 	Softball Field
Children’s Amusement Center 	Juvenile Detention Center 	Software Company
Children Hall 	Kabaddi Club 	Software Training Institute
Children Policlinic 	Kaiseki Restaurant 	Soil Testing Service
Childrens Book Store 	Karaoke 	Sokol House
Childrens Cafe 	Karaoke Bar 	Solar Energy Company
Children’s Clothing Store 	Karaoke Equipment Rental Service 	Solar Energy Contractor
Childrens Club 	Karate Club 	Solar Energy Equipment Supplier
Childrens Farm 	Karate School 	Solar Hot Water System Supplier
Children’s Furniture Store 	Kashmiri Restaurant 	Solar Photovoltaic Power Plant
Childrens Home 	Kawasaki Motorcycle Dealer 	Solid Fuel Company
Children’s Hospital 	Kazakhstani Restaurant 	Solid Waste Engineer
Childrens Library 	Kebab Shop 	Soul Food Restaurant
Children’s Museum 	Kennel 	Soup Kitchen
Childrens Party Buffet 	Kerosene Supplier 	Soup Restaurant
Children’s Party Service 	Key Duplication Service 	Soup Shop
Childrens Store 	Kia Dealer 	South African Restaurant
Childrens Theater 	Kickboxing School 	South American Restaurant
Chilean Restaurant 	Kilt Shop and Hire 	South Asian Restaurant
Chimney Services 	Kimono Store 	Southeast Asian Restaurant
Chimney Sweep 	Kindergarten 	Southern Italian Restaurant
Chinaware Store 	Kinesiologist 	Southern Restaurant (US)
Chinese Language Instructor 	Kiosk 	Southwest France Restaurant
Chinese Language School 	Kitchen Furniture Store 	Southwestern Restaurant (US)
Chinese Medical Hospital 	Kitchen Remodeler 	Souvenir Manufacturer
Chinese Medicine Clinic 	Kitchen Supply Store 	Souvenir Store
Chinese Medicine Store 	Kite Shop 	Soy Sauce Maker
Chinese Noodle Restaurant 	Knife Manufacturing 	Spa
Chinese Pastry 	Knife Store 	Spa and Health Club
Chinese Restaurant 	Knit Shop 	Spa Garden
Chinese Supermarket 	Knitting Instructor 	Spa Resort
Chinese Takeaway 	Knitwear Manufacturer 	Spa Town
Chinese Tea House 	Korean Barbecue Restaurant 	Spanish Language School
Chiropractor 	Korean Beef Restaurant 	Spanish Restaurant
Chocolate Artisan 	Korean Church 	Special Education School
Chocolate Cafe 	Korean Grocery Store 	Specialist Hospital
Chocolate Factory 	Korean Restaurant 	Specialized Clinic
Chocolate Shop 	Korean Rib Restaurant 	Specialized hospital
Choir 	Kosher Grocery Store 	Speech Pathologist
Chophouse Restaurant 	Kosher Restaurant 	Sperm Bank
Christian Book Store 	Kung Fu School 	Spice Store
Christian Church 	Kushiyaki Restaurant 	Spices Exporter
Christian College 	Kyoto Style Japanese Restaurant 	Spices Wholesalers
Christmas Market 	Labor Relations Attorney 	Spiritist Center
Christmas Store 	Labor Union 	Sport Tour Agency
Christmas Tree Farm 	Laboratory 	Sporting Goods Store
Chrysler Dealer 	Laboratory Equipment Supplier 	Sports Accessories Wholesaler
Church 	Labour Club 	Sports Bar
Church of Christ 	Ladder Supplier 	Sports Card Store
Church of Jesus Christ of Latter-day Saints 	Laminating Equipment Supplier 	Sports Club
Church of the Nazarene 	Lamination Service 	Sports Complex
Church Supply Store 	Lamp Repair Service 	Sports Equipment Rental Service
Churreria 	Lamp Shade Supplier 	Sports Massage Therapist
Cider Bar 	Land Allotment 	Sports Medicine Clinic
Cider Mill 	Land Planning Authority 	Sports Medicine Physician
Cigar Shop 	Land Reform Institute 	Sports Memorabilia Store
Cinema Equipment Supplier 	Land Rover Dealer 	Sports Nutrition Store
Circular Distribution Service 	Land Surveying Office 	Sports School
Circus 	Land Surveyor 	Sportswear Store
Citizen Information Bureau 	Landscape Architect 	Sportwear Manufacturer
Citizens Advice Bureau 	Landscape Designer 	Spring Supplier
City Administration 	Landscape Lighting Designer 	Squash Club
City Clerk’s Office 	Landscaper 	Squash Court
City Courthouse 	Landscaping Supply Store 	Sri Lankan Restaurant
City Department of Environment 	Language School 	Stable
City Department of Public Safety 	Laotian Restaurant 	Stadium
City Department of Transportation 	Lapidary 	Stage
City District Office 	Laser Cutting Service 	Stage Lighting Equipment Supplier
City Employment Department 	Laser Equipment Supplier 	Stained Glass Studio
City Government Office 	Laser Hair Removal Service 	Stainless Steel Plant
City or Town Hall 	Laser Tag Center 	Stair Contractor
City Hospital 	LASIK Surgeon 	Stall Installation Service
City Park 	Latin American Restaurant 	Stamp Collectors Club
City pillar shrine 	Laundromat 	Stamp Shop
City Tax Office 	Laundry 	Stand Bar
Civic Center 	Laundry Service 	Staple Food Package
Civil Defence 	Law Book Store 	State
Civil Engineer 	Law Firm 	State Archive
Civil Engineering Company 	Law Library 	State Department Agricultural Development
Civil Examinations Academy 	Law School 	State Department Agriculture Food Supply
Civil Law Attorney 	Lawn Bowls Club 	State Department Civil Defense
Civil Police 	Lawn Care Service 	State Department Communication
Civil Registry 	Lawn Equipment Rental Service 	State Department Finance
Class 	Lawn Irrigation Equipment Supplier 	State Department for Social Development
Classified Ads Newspaper Publisher 	Lawn Mower Repair Service 	State Department Housing and Urban Development
Cleaners 	Lawn Mower Store 	State Department of Environment
Cleaning Products Supplier 	Lawn Sprinkler System Contractor 	State Department of Tourism
Cleaning Service 	Lawyer 	State Department of Transportation
Clergyman 	Lawyers Association 	State Department Science Technology
Clock Repair Service 	Leagues Club 	State Department Social Defense
Clock Watch Maker 	Learner Driver Training Area 	State Dept of Culture
Closed Circuit Television 	Learning Center 	State Dept of Sports
Clothes and Fabric Manufacturer 	Leasing Service 	State Employment Department
Clothes and Fabric Wholesaler 	Leather Cleaning Service 	State Government Office
Clothes Market 	Leather Coats Store 	State Liquor Store
Clothing Alteration Service 	Leather Exporter 	State Office of Education
Clothing Store 	Leather Goods Manufacturer 	State Owned Farm
Clothing Supplier 	Leather Goods Store 	State Park
Clothing Wholesale Market Place 	Leather Goods Supplier 	State Police
Clothing Wholesaler 	Leather Goods Wholesaler 	State Social Development
Club 	Leather Repair Service 	Stationery Manufacturer
CNG Fittment Center 	Leather Wholesaler 	Stationery Store
Coaching Center 	Lebanese Restaurant 	Stationery Wholesaler
Coal Exporter 	Legal Affairs Bureau 	Statuary
Coal Supplier 	Legal Aid Office 	Std Clinic
Coalfield 	Legal Services 	STD Testing Service
Coast Guard Station 	Leisure Centre 	Steak House
Coat Wholesaler 	Lexus Dealer 	Steamboat Restaurant
Cocktail Bar 	Library 	Steamed Bun Shop
Co-ed School 	License Bureau 	Steel Construction Company
Coffee Machine Supplier 	License Plate Frames Supplier 	Steel Distributor
Coffee Roasters 	Lido 	Steel Drum Supplier
Coffee Shop 	Life Coach 	Steel Erector
Coffee Store 	Life Insurance Agency 	Steel Fabricator
Coffee Vending Machine 	Light Bulb Supplier 	Steel Framework Contractor
Coffee Wholesaler 	Lighting Consultant 	Steelwork Design Company
Coffin Supplier 	Lighting Contractor 	Steelwork Manufacturer
Coin Dealer 	Lighting Manufacturer 	Stereo Rental Store
Coin Operated Laundry Equipment Supplier 	Lighting Store 	Stereo Repair Service
Coin Operated Locker 	Lighting Wholesaler 	Home Audio Store
Cold Cut Store 	Limousine Service 	Sticker Manufacturer
Cold Noodle Restaurant 	Lincoln Mercury Dealer 	Stitching Class
Cold Storage Facility 	Line Marking Service 	Stock Broker
Collectibles Store 	Linens Store 	Stock Exchange Building
College 	Lingerie Manufacturer 	Stone Carving
College of Agriculture 	Lingerie Store 	Stone Cutter
Colombian Restaurant 	Lingerie Wholesaler 	Stone Supplier
Comedy Club 	Linoleum Store 	Storage Facility
Comic Book Store 	Lion Dance Troupe 	Store
Comic Cafe 	Liquidator 	Store Equipment Supplier
Commercial Agent 	Liquor Store 	Stove Builder
Commercial Cleaning Service 	Liquor Wholesaler 	Stringed instrument maker
Commercial Printer 	Literacy Program 	Structural Engineer
Commercial Real Estate Agency 	Lithuanian Restaurant 	Stucco Contractor
Commercial Real Estate Inspector 	Little League Club 	Student Career Counseling Office
Commercial Refrigeration 	Little League Field 	Student Dormitory
Commercial Refrigerator Supplier 	Live Music Bar 	Student Housing Center
Commissioner for Oaths 	Live Music Venue 	Student Union
Communications Central 	Livery Company 	Students Parents Association
Community Center 	Livestock Auction House 	Students Support Association
Community College 	Livestock Breeder 	Study at Home School
Community Garden 	Livestock Dealer 	Studying Center
Community Health Centre 	Livestock Producer 	Stylist
Community School 	Loan Agency 	Subaru Dealer
Company Registry 	Lobster Restaurant 	Suburban Train Line
Computer Accessories Store 	Local Government Office 	Sugar Factory
Computer Club 	Local History Museum 	Sugar Shack
Computer Consultant 	Local Medical Services 	Sukiyaki Restaurant
Computer Desk Store 	Locks Supplier 	Summer Camp
Computer Hardware Manufacturer 	Locksmith 	Summer Toboggan Run
Computer Networking Center 	Lodge 	Sundae Restaurant
Computer Repair Service 	Lodging 	Sunglasses Store
Computer Security Service 	Log Cabins 	Sunroom Contractor
Computer Service 	Log Home Builder 	Super Public Bath
Computer Software Store 	Logging Contractor 	Superannuation Consultant
Computer Store 	Logistics Service 	Superfund Site
Computer Support and Services 	Loss Adjuster 	Supermarket
Computer Training School 	Lost Property Office 	Surf Lifesaving Club
Computer Wholesaler 	Lottery Retailer 	Surf School
Concert Hall 	Lottery Shop 	Surf Shop
Concrete Contractor 	Lounge 	Surgeon
Concrete Factory 	Love Hotel 	Surgical Center
Concrete Metal Framework Supplier 	Low Emission Zone 	Surgical Products Wholesaler
Concrete Product Supplier 	Low Income Housing Program 	Surgical Supply Store
Condiments Supplier 	LPG Conversion 	Surinamese Restaurant
Condominium Complex 	Luggage Repair Service 	Surplus Store
Condominium Rental Agency 	Luggage Store 	Surveyor
Confectionery 	Luggage Wholesaler 	Sushi Restaurant
Confectionery Wholesaler 	Lumber Store 	Suzuki Dealer
Conference Center 	Lunch Restaurant 	Suzuki Motorcycle Dealer
Conference Hotel 	Lutheran Church 	Swedish Restaurant
Congregation 	Luxury Hotel 	Swim Club
Conservation Department 	Lyceum 	Swimming Basin
Conservative Club 	Lymph Drainage Therapist 	Swimming Competition
Conservative Synagogue 	Machine Construction 	Swimming Facility
Conservatory Construction Contractor 	Machine Knife Supplier 	Swimming Instructor
Conservatory of Music 	Machine Maintenance 	Swimming Lake
Conservatory Supply & Installation 	Machine Repair Service 	Swimming Pool
Consignment Shop 	Machine Shop 	Swimming Pool Contractor
Construction and Maintenance Office 	Machine Workshop 	Swimming Pool Repair Service
Construction Company 	Machinery Parts Manufacturer 	Swimming Pool Supply Store
Construction Equipment Supplier 	Machining Manufacturer 	Swimming School
Construction Machine Dealer 	Macrobiotic Restaurant 	Swimwear Store
Construction Machine Rental Service 	Madrilian Restaurant 	Swiss Restaurant
Construction Material Wholesaler 	Magazine Publisher 	Synagogue
Consultant 	Magazine Store 	Synchronized Swimming
Consumer Advice Center 	Magic Store 	Syrian Restaurant
Contact Lenses Supplier 	Magician 	T-shirt Company
Container Service 	Mah Jong House 	T-shirt Store
Container Supplier 	Mailbox Rental Service 	Table & Chair Rental Service
Container Terminal 	Mailbox Supplier 	Table Tennis Club
Containers Supplier 	Mailing Machine Supplier 	Table Tennis Facility
Contemporary Louisiana Restaurant 	Mailing Service 	Table Tennis Supply Store
Continental Restaurant 	Main Customs Office 	Tack Shop
Contractor 	Make-up Artist 	Taco Restaurant
Convenience Store 	Malaysian Restaurant 	Tae Kwon Do Comp Area
Convenience Stores Organization 	Male Hospital 	Taekwondo School
Convention Center 	Maltese Restaurant 	Tag Agency
Convention Information Bureau 	Mammography Service 	Tai Chi School
Conveyancer 	Management School 	Tailor
Cookie Shop 	Mandarin Restaurant 	Taiwanese Restaurant
Cooking Class 	Manor House 	Takoyaki Restaurant
Cooking School 	Manufactured Home Transporter 	Talent Agency
Cooling Plant 	Manufacturer 	Tamale Shop
Copier Repair Service 	Maori Organization 	Tannery
Copper Supplier 	Map Store 	Tanning Salon
Coppersmith 	Mapping Service 	Taoist Temple
Copy Shop 	Marae 	Tapas Bar
Copying Supply Store 	Marble Contractor 	Tapas Restaurant
Corporate Campus 	Marble Supplier 	Tatami Store
Corporate Entertainment Service 	Marche Restaurant 	Tattoo and Piercing Shop
Corporate Gift Supplier 	Marina 	Tattoo Removal Service
Corporate Office 	Marine Engineer 	Tattoo Shop
Correctional Services Department 	Marine Self Defense Force 	Tax Assessor
Cosmetic Dentist 	Marine Supply Store 	Tax Attorney
Cosmetic Products Manufacturer 	Marine Surveyor 	Tax Collector’s Office
Cosmetics and Parfumes Supplier 	Maritime Museum 	Tax Consultant
Cosmetics Industry 	Market 	Tax Department
Cosmetics Store 	Market Operator 	Tax Preparation
Cosmetics Wholesaler 	Market Researcher 	Tax Preparation Service
Cosplay Cafe 	Marketing Agency 	Taxi Service
Costa Rican Restaurant 	Marketing Consultant 	Taxi Stand
Costume Jewelry Shop 	Markmens Clubhouse 	Taxidermist
Costume Rental Service 	Marquee Hire Service 	Tb Clinic
Costume Store 	Marriage Celebrant 	Tea Exporter
Cottage 	Marriage Counselor 	Tea House
Cottage Rental 	Marriage License Bureau 	Tea Manufacturer
Cottage Village 	Martial Arts Club 	Tea Market Place
Cotton Exporter 	Martial Arts School 	Tea Store
Cotton Mill 	Martial Arts Supply Store 	Tea Wholesaler
Cotton Supplier 	Masonic Center 	Teacher College
Council 	Masonry Contractor 	Technical School
Counselor 	Masonry Supply Store 	Technical Service
Countertop Store 	Massage School 	Technical University
Country Club 	Massage Spa 	Technology Museum
Country Food Restaurant 	Massage Supply Store 	Technology Park
Country House 	Massage Therapist 	Teeth Whitening Service
Country Park 	Match Box Manufacturer 	Telecommunication School
County Government Office 	Material Handling Equipment Supplier 	Telecommunications Contractor
Courier Service 	Maternity Hospital 	Telecommunications Engineer
Cours de Capoeira 	Maternity Store 	Telecommunications Equipment Supplier
Cours de Surf 	Mathematics School 	Telecommunications Service Provider
Court Executive Officer 	Mattress Store 	Telemarketing Service
Court Reporter 	Mausoleum Builder 	Telephone Answering Service
Couscous Restaurant 	Mazda Dealer 	Telephone Company
Couture Store 	Meal Delivery 	Telephone Exchange
Coworking Space 	Meal Takeaway 	Telescope Store
Crab House 	Measuring Instruments Supplier 	Television Repair Service
Craft Centre 	Meat Packer 	Television Station
Craft Store 	Meat Processor 	Temp Agency
Cramming School 	Meat Products 	Tempura Donburi Restaurant
Crane Dealer 	Meat Dish Restaurant 	Tempura Restaurant
Crane Rental Agency 	Meat Wholesaler 	Tenant Ownership
Crane Service 	Mechanic 	Tenant’s Union
Craniosacral Therapy 	Mechanical Contractor 	Tennis Club
Creche 	Mechanical Engineer 	Tennis Court
Credit Counseling Service 	Mechanical Plant 	Tennis Court Construction Company
Credit Reporting Agency 	Media and Information Sciences Faculty 	Tennis Instructor
Credit Union 	Media Company 	Tennis Store
Cremation Service 	Media Consultant 	Tent Rental Service
Creole Restaurant 	Media House 	Teppanyaki Restaurant
Crêperie 	Mediation Service 	Tex-Mex Restaurant
Cricket Club 	Medical Billing Service 	Textile Engineer
Cricket Ground 	Medical Book Store 	Textile Exporter
Cricket Shop 	Medical Center 	Textile Mill
Crime Victim Service 	Medical Certificate Service 	Thai Massage Therapist
Criminal Justice Attorney 	Medical Clinic 	Thai Restaurant
Croatian Restaurant 	Medical Diagnostic Imaging Center 	Theater Company
Crop Grower 	Medical Equipment Manufacturer 	Theater Production
Croquet Club 	Medical Equipment Supplier 	Theater Supply Store
Cruise Agency 	Medical Examiner 	Theatrical Costume Supplier
Cruise Line Company 	Medical Group 	Theme Park
Cruise Terminal 	Medical Laboratory 	Thermal Baths
Crushed Stone Supplier 	Medical Office 	Thermal Energy Company
Cuban Restaurant 	Medical School 	Thread Supplier
Culinary School 	Medical Spa 	Threads and Yarns Wholesaler
Cultural Association 	Medical Supply Store 	Thrift Store
Cultural Center 	Medical Technology Manufacturer 	Tile Contractor
Cupcake Shop 	Medical Transcription Service 	Tile Manufacturer
Cured Ham Bar 	Medicine Exporter 	Tile Store
Cured Ham Store 	Meditation Center 	Time and Temperature Announcement Service
Cured Ham Warehouse 	Meditation Instructor 	Timeshare Agency
Curling Club 	Mediterranean Restaurant 	Tyre Manufacturer
Curling Hall 	Meeting Planning Service 	Tire Shop
Currency Exchange Service 	Mehandi Class 	Title Company
Curtain and Upholstery Cleaning Service 	Mehndi Designer 	Tobacco Exporter
Curtain Store 	Memorial Estate 	Tobacco Shop
Curtain Supplier and Maker 	Memorial Park 	Tobacco Supplier
Custom Confiscated Goods Store 	Mennonite Church 	Tofu Restaurant
Custom Home Builder 	Men’s Clothing Store 	Tofu Shop
Custom Label Printer 	Mens Tailor 	Toiletries Store
Custom T-shirt Store 	Mental Health Clinic 	Toll Road Rest Stop
Custom Tailor 	Mental Health Service 	Toll Booth
Customs Broker 	Mercantile Development 	Toner Cartridge Supplier
Customs Consultant 	Mercedes Benz Dealer 	Tongue Restaurant
Customs Department 	Messianic Synagogue 	Tonkatsu Restaurant
Customs Office 	Metal Construction Company 	Tool & Die Shop
Customs Warehouse 	Metal Detecting Equipment Supplier 	Tool Grinding Service
Cutlery Store 	Metal Fabricator 	Tool Manufacturer
Cycling Park 	Metal Finisher 	Tool Rental Service
Czech Restaurant 	Metal Heat Treating Service 	Tool Repair Shop
Dairy 	Metal Industry Suppliers 	Tool Store
Dairy Farm 	Metal Machinery Supplier 	Tool Wholesaler
Dairy Farm Equipment Supplier 	Metal Polishing Service 	Toolroom
Dairy Store 	Metal Processing Company 	Topography Company
Dairy Supplier 	Metal Stamping Service 	Topsoil Supplier
Dan Dan Noodle Restaurant 	Metal Supplier 	Tour Agency
Dance Club 	Metal Working Shop 	Tour Operator
Dance Company 	Metal Workshop 	Tourist Attraction
Dance Conservatory 	Metallurgy Company 	Tourist Information Center
Dance Hall 	Metalware Dealer 	Tower Communication Service
Dance Pavillion 	Metalware Producer 	Towing Equipment Provider
Dance Restaurant 	Metaphysical Supply Store 	Towing Service
Dance School 	Methodist Church 	Townhouse Complex
Dance Store 	Metropolitan Train Company 	Toy and Game Manufacturer
Danish Restaurant 	Mexican Goods Store 	Toy Library
Dart Bar 	Mexican Grocery Store 	Toy Manufacturer
Dart Supply Store 	Mexican Restaurant 	Toy Museum
Data Entry Service 	Mfr 	Toy Store
Data Recovery Service 	Microbiologist 	Toyota Dealer
Database Management Company 	Microwave Oven Repair Service 	Tractor Dealer
Dating Service 	Mid-Atlantic Restaurant (US) 	Tractor Equipment Supplier
Day Care Center 	Middle Eastern Restaurant 	Tractor Repair Shop
Day Spa 	Middle School 	Trade Fair Construction Company
Deaf Church 	Midwife 	Trade School
Deaf School 	Militar Archive 	Trading Card Store
Deaf Service 	Militar Residence 	Traditional Costume Club
Debris Removal Service 	Military Barracks 	Traditional Kostume Store
Debt Collecting 	Military Base 	Traditional Market
Debt Collection Agency 	Military Board 	Traditional Restaurant
Decal Supplier 	Military Cemetery 	Traditional Teahouse
Deck Builder 	Military Hospital 	Traditional American Restaurant
Deli 	Military Recruiting Office 	Traffic Officer
Delivery Chinese Restaurant 	Military School 	Traffic Police Station
Delivery Service 	Military Town 	Trailer Dealer
Demolition Contractor 	Milk Delivery Service 	Trailer Hitch Supplier
Jeans Shop 	Mill 	Trailer Manufacturer
Dental Clinic 	Millwork Shop 	Trailer Rental Service
Dental Hygienist 	Mine 	Trailer Repair Shop
Dental Implants Periodontist 	Mineral Water Company 	Trailer Supply Store
Dental Insurance Agency 	Mineral Water Wholesale 	Train Repairing Center
